문제 번호,문제,보기 1,보기 2,보기 3,보기 4,보기 5,정답,해설
41,수도법 제74조에 따라 수도사업자가 수도시설의 관리상태를 점검하기 위해 기술진단을 실시해야 하는 주기는?,1. 1년마다,2. 2년마다,3. 3년마다,4. 4년마다,5. 5년마다,5,"수도법 제74조에 명시된 바와 같이, ""수도사업자는 수도시설의 관리상태를 점검하기 위하여 5년마다 환경부령으로 정하는 바에 따라 정수장·상수도관망 등 그 수도시설에 대한 기술진단을 실시하고, 시설개선계획을 수립하여 시행하여야 합니다."
42,먹는물 수질기준 및 검사 등에 관한 규칙 제4조에 따라 광역상수도 및 지방상수도에서 급수과정별 시설의 수질검사를 실시하는 최소 주기는?,1. 매일,2. 매주 1회 이상,3. 매월 1회 이상,4. 매 분기 1회 이상,5. 매년 1회 이상,4,"먹는물 수질기준 및 검사 등에 관한 규칙 제4조에 따르면, ""먹는물 수질기준 중 일반세균, 총 대장균군, 대장균 또는 분원성 대장균군, 암모니아성 질소, 총트리할로메탄, 동, 수소이온 농도, 아연, 철, 탁도 및 잔류염소에 관한 급수과정별 시설에서의 수질검사: 매 분기 1회 이상""으로 규정하고 있습니다."
43,상수도관망시설유지관리업무 세부기준 제4조에 따른 '관세척'의 시행 주기로 옳은 것은?,1. 최초 매설 후 매 1년 이내 1회 이상,2. 최초 매설 후 매 3년 이내 1회 이상,3. 최초 매설 후 매 5년 이내 1회 이상,4. 최초 매설 후 매 10년 이내 1회 이상,5. 필요에 따라 수시로 시행,4,"상수도관망시설유지관리업무 세부기준 제4조에 명시된 바와 같이, ""관세척은 송수 및 배수관로에 대해 최초 매설 후 매 10년 이내 1회 이상 시행해야 합니다."
44,수도미터의 검정유효기간에 대한 설명으로 옳은 것은?,"1. 구경 50mm 이하는 6년, 50mm 초과는 8년이다.",2. 모든 구경의 수도미터는 5년이다.,"3. 구경 50mm 이하는 8년, 50mm 초과는 6년이다.",4. 모든 구경의 수도미터는 7년이다.,5. 검정유효기간은 수도미터 제작업체가 자율적으로 정한다.,3,"수도미터의 계획정비 및 교체 항목에서 ""수도미터 검정유효기간: 구경 50mm 이하 8년, 50mm 초과 6년""으로 명시되어 있습니다."
45,"일반수도사업자가 부득이한 이유로 일시 수돗물을 공급할 수 없는 경우, 취해야 할 조치로 옳은 것은?",1. 별도의 공고 없이 즉시 공급을 중단할 수 있다.,2. 수용가에게 개별적으로 방문하여 통지해야 한다.,3. 미리 그 구역과 기간을 정하여 공고하여야 한다.,4. 환경부장관의 사전 승인을 받아야 한다.,5. 최소 1개월 이상의 유예기간을 두고 서면으로 통지하여야 한다.,3,"수도법 제39조에 따르면 ""일반수도사업자가 부득이한 이유로 일시 수돗물을 공급할 수 없는 경우에는 미리 그 구역과 기간을 정하여 공고하여야 합니다."
46,"배수지 운전 시 주의사항으로, 배수지 수위는 유효저수량 내에서 공기나 침전물이 유출관에 흡입되는 것을 방지하기 위해 유출관에서의 수심이 유출관 구경의 최소 몇 배 이상이 되어야 한다고 권고하는가?",1. 0.5배,2. 1배,3. 1.5배,4. 2배,5. 3배,4,"배수지 운전 시 주의사항에 따르면, ""배수지 수위는 공기나 침전물이 유출관에 흡입되는 한도 (유출관에서의 수심이 유출관 구경의 2배 이상) 이하가 되어서는 안 됩니다."
47,수도시설에 대한 기술진단 결과보고서 및 시설개선계획 수립/시행 결과의 인가관청 보고 기한으로 옳은 것은?,1. 기술진단 실시 후 30일 이내 / 시설개선계획 수립 후 30일 이내 / 시설개선계획 시행 후 30일 이내,2. 기술진단 실시 후 60일 이내 / 시설개선계획 수립 후 60일 이내 / 시설개선계획 시행 후 30일 이내,3. 기술진단 실시 후 90일 이내 / 시설개선계획 수립 후 60일 이내 / 시설개선계획 시행 후 60일 이내,4. 기술진단 실시 후 60일 이내 / 시설개선계획 수립 후 30일 이내 / 시설개선계획 시행 후 30일 이내,5. 기술진단 실시 후 90일 이내 / 시설개선계획 수립 후 90일 이내 / 시설개선계획 시행 후 60일 이내,2,"수도법 시행규칙 제31조의2에 따르면 기술진단 결과는 실시 후 60일 이내, 시설개선계획 수립 결과는 수립 후 60일 이내, 그리고 시설개선계획 시행 결과는 시행 후 30일 이내에 보고해야 합니다."
48,"유량계 관리 기준 중, 설치된 유량계는 연 1회 이상 무엇을 받거나 실시해야 하는가?",1. 외부 전문가의 정밀 진단,2. 교정 또는 오차시험,3. 부품 교체 작업,4. 데이터 백업 및 복원 훈련,5. 소음 측정 검사,2,"유량계 관리 기준에 따르면, ""설치된 유량계는 연 1회 이상 교정을 받거나 오차시험을 하여야 합니다."
49,상수도관망관리대행업의 업무 범위에 해당하지 않는 것은?,1. 상수도관망의 세척,2. 상수도관망의 누수탐사·복구 등 누수 관리,3. 상수도관망시설의 점검·정비,4. 상수도관망시설 설치를 위한 설계·시공,5. 그 밖에 환경부령으로 정하는 상수도관망의 운영관리에 해당하는 업무,4,"수도법 제21조의4에 따르면 상수도관망관리대행업의 업무 범위는 상수도관망의 세척, 누수탐사·복구 등 누수 관리, 상수도관망시설의 점검·정비, 그리고 그 밖에 환경부령으로 정하는 상수도관망의 운영관리에 해당하는 업무입니다. 시설의 설계·시공은 직접적인 대행업의 업무 범위에 명시되어 있지 않습니다."
50,해저 송수관의 사고 방지를 위한 조치로 옳지 않은 것은?,1. 배의 정박에 의한 사고로부터 관을 보호하기 위해 관계기관에서 발행한 해도에 기록한다.,2. 보호구역 지정을 위해 관계당국과 충분히 협의한다.,3. 급수구역 내 및 부근 주민에 대해서는 정기적으로 해저 송수관의 중요성을 홍보한다.,4. 관계기관과 연락체계를 구축한다.,5. 해저 송수관의 중요성을 알리는 홍보는 사고 발생 후에만 실시한다.,5,"해저 송수관의 사고 방지 항목에 따르면, ""급수구역 내 및 부근 주민에 대해서는 정기적으로 해저 송수관의 중요성을 알리는 홍보하고 관계기관과 연락체계를 구축해 두어야 합니다""라고 명시되어 있습니다. 사고 발생 후에만 실시하는 것이 아니라 사전에 지속적으로 실시해야 합니다."
51,"수도법 제3조(정의)에 따라 ""급수설비""에 포함되는 시설로 명시되지 않은 것은?",(1) 급수관 (옥내급수관 포함),(2) 계량기,(3) 저수조,(4) 수도꼭지,(5) 송수시설,5,"수도법 제3조에 따르면 '급수설비'는 수도사업자가 일반 수요자에게 원수나 정수를 공급하기 위하여 설치한 배수관으로부터 분기하여 설치된 급수관(옥내급수관을 포함한다), 계량기, 저수조, 수도꼭지, 그 밖에 급수를 위하여 필요한 기구를 말합니다. 송수시설은 수도시설의 일부이지만 급수설비에는 포함되지 않습니다."
52,수도용 자재와 제품의 위생안전기준 인증에 대한 설명으로 옳지 않은 것은?,(1) 수도시설 중 물에 접촉하는 수도용 자재나 제품을 제조 또는 수입하려는 자는 미리 환경부장관으로부터 인증을 받아야 한다.,"(2) 인증을 받지 아니한 수도용 자재나 제품을 제조, 수입, 공급, 판매하여서는 아니 된다.",(3) 학교나 연구기관 등이 시험 연구 목적으로 수도용 자재나 제품을 제조·수입하는 경우에는 인증 예외가 적용될 수 있다.,(4) 인증을 받은 자는 해당 수도용 자재 및 제품에 대하여 환경부장관에게 정기검사를 받아야 한다.,(5) 환경부장관이 수도용 자재나 제품으로 사용하기에 적합하지 아니하다고 인정하여 고시하는 자재나 제품은 수도용 자재나 제품으로 사용할 수 있다.,5,환경부장관이 수도용 자재나 제품으로 사용하기에 적합하지 아니하다고 인정하여 고시하는 자재나 제품은 수도용 자재나 제품으로 사용할 수 없다고 명시되어 있습니다. 따라서 보기는 틀린 설명입니다.
53,수도법 제18조(시설 기준 등)에 따른 수도시설 설치 기준에 대한 설명으로 옳은 것은?,(1) 일반수도사업자는 수도시설을 설치할 때에 재해에 대한 안전성만 고려하면 된다.,"(2) 수도시설의 세부 시설기준은 환경부령으로 정하며, 별표 3에 명시되어 있다.",(3) 송수시설은 이송과정에서 정수된 물이 외부로부터 오염되지 아니하도록 개수로 등의 구조로 하여야 한다.,"(4) 도수시설 및 송수시설 관내에는 부압이 발생할 수 있으나, 수격 작용은 적합하게 견뎌야 한다.","(5) 저수조를 설치할 때의 기준은 대통령령으로 정하며, 규모에 관계없이 일률적으로 적용된다.",2,"수도법 시행규칙 제9조에 따라 수도시설의 세부 시설기준은 별표 3과 같습니다. (1) 지진에 대한 안전성을 고려해야 합니다. (3) 관수로 등의 구조로 하여야 합니다. (4) 관내에 부압이 발생하지 않아야 합니다. (5) 저수조 설치 기준은 환경부령으로 정하며, 대통령령으로 정하는 규모 이상의 건축물 외에는 지방자치단체의 조례로 정할 수 있습니다."
54,"수도법 시행령 [별표 2의2] 상수도관망시설운영관리사의 배치기준에 따라, 상수도관망시설의 규모가 1,000km 이상 1,500km 미만인 경우의 배치기준은?",(1) 상수도관망시설운영관리사 2급 1명 이상,(2) 상수도관망시설운영관리사 2급 2명 이상,(3) 상수도관망시설운영관리사 1급 1명 이상,"(4) 상수도관망시설운영관리사 1급 1명 이상, 상수도관망시설운영관리사 2급 2명 이상","(5) 상수도관망시설운영관리사 1급 2명 이상, 상수도관망시설운영관리사 2급 2명 이상",4,"수도법 시행령 [별표 2의2]에 따르면, 상수도관망시설의 규모가 1,000km 이상 1,500km 미만인 경우 상수도관망시설운영관리사 1급 1명 이상과 2급 2명 이상을 배치해야 합니다."
55,상수도관망 중점관리지역 지정 기준에 해당하지 않는 것은?,(1) 수질사고 및 수질민원이 반복적으로 발생하거나 발생할 우려가 있는지 여부,(2) 상수도관망의 노후 정도,(3) 수질사고가 발생할 경우 큰 피해가 발생할 우려가 있는지 여부,(4) 법 제26조제2항에 따른 수질기준 위반의 우려가 있는지 여부,(5) 해당 지역의 유수율이 95% 이상으로 안정적으로 유지되고 있는지 여부,5,"상수도관망 중점관리지역 지정 기준은 수질사고 및 민원 반복 발생 우려, 관망 노후 정도, 수질사고 시 큰 피해 발생 우려, 수질기준 위반 우려 등입니다. 유수율은 중점관리지역 지정 기준에 포함되지 않습니다."
56,"수도법 시행규칙 제22조의3에 따라, 대형건축물 등의 소유자 등이 저수조 관리에 대해 수행해야 할 위생 조치 사항으로 옳지 않은 것은?",(1) 반기 1회 이상 저수조를 청소해야 한다.,(2) 월 1회 이상 저수조의 위생상태를 점검해야 한다.,(3) 신축되었거나 1개월 이상 사용이 중단된 저수조는 사용 전에 청소를 해야 한다.,(4) 청소 후에는 저수조에 물을 채운 다음 탁도가 1.0 NTU 이하인지 점검해야 한다.,(5) 매년 마지막 검사일로부터 1년이 되는 날이 속하는 달의 말일까지의 기간 중에 1회 이상 수질검사를 해야 한다.,4,"청소 후 저수조에 물을 채운 다음 점검해야 할 수질 기준은 수소이온농도 5.8 이상 8.5 이하, 탁도 0.5 NTU 이하입니다."
57,수도법 제37조(급수의 긴급정지 등)에 명시된 내용으로 옳지 않은 것은?,(1) 일반수도사업자는 수돗물이 건강을 해할 우려가 있으면 지체 없이 수돗물의 공급을 정지하여야 한다.,"(2) 수돗물의 공급을 정지하면 지체 없이 시도지사, 해당 지역의 주민 및 관계 기관의 장에게 상황을 알려야 한다.","(3) 수돗물의 공급 정지 시 수질검사, 비상급수 등의 필요한 조치를 강구하여야 한다.",(4) 일반수도사업자가 공급하는 물이 건강을 해칠 우려가 있음을 발견한 자는 그 사실을 해당 지자체에만 알리면 된다.,"(5) 수돗물의 공급을 정지한 경우, 해당 지역의 주민에게 상황을 공지하여야 한다.",4,일반수도사업자가 공급하는 물이 건강을 해칠 우려가 있음을 발견한 자는 그 사실을 지체 없이 해당 **'일반수도사업자'**에게 알려야 합니다.
